dataset,model,seed,forget_size,method,accuracy,fid,mia
Heart Disease,LR,110,10,Exact,0.868131868,0,0.2
Heart Disease,LR,110,10,SISA,0.835164835,0.339380174,0.1
Heart Disease,LR,110,10,Weighting,0.868131868,6.78E-16,0.2
Heart Disease,LR,111,5,Exact,0.791208791,0,0.1
Heart Disease,LR,111,5,SISA,0.791208791,0.197188801,0.1
Heart Disease,LR,111,5,Weighting,0.791208791,4.94E-16,0.1
Heart Disease,LR,111,10,Exact,0.802197802,0,0.1
Heart Disease,LR,111,10,SISA,0.791208791,0.195789257,0.1
Heart Disease,LR,111,10,Weighting,0.802197802,1.86E-16,0.1
Heart Disease,LR,112,5,Exact,0.824175824,0,0.1
Heart Disease,LR,112,5,SISA,0.824175824,0.225912498,0.1
